id,rating,title,body,author,created_at,is_edited
14100473422,1,Spotify…not new & approved,"Don’t know what they did to the app, but it DOESN’T work with Apple Car Play.  Paying $22 a month for Premium & I CAN’T LISTEN TO IT!!  Even tried to transfer my playlists from spotify to youtube music…’spotify account not found’.  Goodbye Spotify!!",mpatefl,2026-05-24T12:51:19+00:00,0
14100471895,5,Goodness,Spotify you’re so good and your music is top tier tysm!!,loski😏,2026-05-24T12:50:50+00:00,0
14100469076,5,Best music medium,I love Spotify.you can listen to any song and download music,SApgar,2026-05-24T12:49:56+00:00,0
14100464362,3,New icon,The new icon is absolutely horrible. It stands out in the worst way amongst all my other app icons,gueb113,2026-05-24T12:48:26+00:00,0
14100461116,1,Garbage,Absolute garbage for podcasts. Listen for something for 5 seconds and it’s in your home screen forever! App made by algorithm fools,Lelossdfa,2026-05-24T12:47:22+00:00,0
14100442719,1,Last version does not work well with carplay,Lags song art (1 song back),DMYTCHENKO,2026-05-24T12:41:14+00:00,0
14100440937,5,Love this app,i had it for a long time now and it’s great for listening to music only problem is you can’t fast forward or go backwards,B3lla11,2026-05-24T12:40:37+00:00,0
14100416808,5,Spotify,My favorite to listen to music and podcasts.,Where is Bret,2026-05-24T12:32:32+00:00,0
14100411504,4,Ads could decrease,"Way to many ads way to frequently. While I understand we can pay to remove them, not everyone can afford that right now.",Bri53091,2026-05-24T12:30:45+00:00,0
14100401705,5,so epic,i have premium so its extra awesome i will forever love spotify never lags on me and the download song quality is immaculate,bigpapinico,2026-05-24T12:27:26+00:00,0
14100399557,1,Ads,"to much ads, atleast make them 10 second per",Double 0D,2026-05-24T12:26:41+00:00,0
14100366972,5,New logo sucks,Whew!! Thank you!!!,New logos,2026-05-24T12:15:27+00:00,1
14100364306,5,Music,Very cool and awesome to have and easy to use 👍🏼😎,Scooter6921,2026-05-24T12:14:32+00:00,0
14100362133,1,new update is so trash,genuinely considering switching atp spotify hasnt been worth the insane price hikes for a while atp,abbdbvsvsv,2026-05-24T12:13:47+00:00,0
14100351469,4,Song transition,Wish I can transition my playlist smoothly like in the past.,567294071_,2026-05-24T12:10:03+00:00,0
14100319779,5,世界通用,音质好，曲多。免费，主要是世界通用,Melanie 888,2026-05-24T11:58:52+00:00,0
14100311228,1,God this is an awful site,I can find all these songs on YouTube no excuses why I can’t listen to them here so dumb so glad I don’t waste my money on this trash app,Medecklong,2026-05-24T11:55:45+00:00,0
14100308194,5,Super en fantastisch!!!,Spotify is mijn leven!!! Ik kan geen dag zonder Spotify. Je kan de aankomend albums van je favo artiesten pre-saven en je hebt bij bijna elk liedje wel een songtekst waardoor je lekker mee kan zingen,5 ⭐️ waard,2026-05-24T11:54:38+00:00,0
14100254682,2,слишком много рекламы,"раньше хорошее было приложение, все время тут музыку слушала. но щас через 1-2 трека крутят рекламу , при том три рекламы подряд. невозможно просто послушать треки(",емаеблина,2026-05-24T11:34:47+00:00,0
14100240246,5,Amazing app,Truly great listening experience that’s all I have to say,Alejandro Olivier Carbonell,2026-05-24T11:29:18+00:00,0
14100180570,5,I LOVE IT🥰😍😍soooooooo beautiful 🤩,I love songs,London and lond,2026-05-24T11:06:01+00:00,0
14100159459,5,A++++++,The best,Dj Russh,2026-05-24T10:57:33+00:00,0
14100126526,5,Music and Sermons,Love to listen to my church music,InspiredMomMom,2026-05-24T10:44:11+00:00,0
14100063079,4,reviewww,9/10 they js have too many ads,Sxshimii,2026-05-24T10:17:58+00:00,0
14100004645,2,Needs a No-AI button,"Pretty decent app, but with all the AI slop showing up, would be nice to have a button to limit music to only human-generated stuff.",Vfx Avery,2026-05-24T09:53:22+00:00,0
14099978024,1,Deleted playlist,"After years of a playlist i loved, it was randomly deleted.  Haven’t added to it in weeks and went to play it and it was gone.  Devastated.",Hate the new logo,2026-05-24T09:42:01+00:00,0
14099958935,5,Excelente,Lo recomiendo,"Sabiduria , poder y Revelacion",2026-05-24T09:33:51+00:00,0
14099883961,1,Hate the Snake Eye,Totally disappointed by the new logo,808Sia,2026-05-24T09:01:38+00:00,0
14099871141,5,Roblox,Reklam olmasa müq bir uygulama,Roblox_Aşığı,2026-05-24T08:56:13+00:00,0
14099843769,1,Awful,My first review after 15 years on Apple. Please change the icon back.,Piccolo0208,2026-05-24T08:44:26+00:00,0
14099832762,5,Osm,Nice,irshadbadshah,2026-05-24T08:39:41+00:00,0
14099818886,3,Reklam,Max 2 şarkı açabiliyorum sonrası reklam çıkıyo hep,Elaebob,2026-05-24T08:33:43+00:00,0
14099789966,4,"Cool app, 4/5 stars","The ads are sometimes too long, but overall this app is nice to listen to music, the free version is just when you are at home, because it doesn’t let you install songs like the trebel app.",Nicklolis,2026-05-24T08:21:15+00:00,0
14099765569,4,Bad bunny,Bad bunny,Appexgear,2026-05-24T08:10:39+00:00,0
14099723179,5,Bravo Spotify,"La mejor aplicación, me encanta",LilianaMG,2026-05-24T07:52:17+00:00,0
14099719907,4,Premium,"How about when the app asks for free premium, we don’t have to put our card number and stuff? And only ask for the card information when it comes to paying",Reznova_1,2026-05-24T07:50:51+00:00,0
14099717740,5,J’s review,Coolest app ever,"AJ, John",2026-05-24T07:49:53+00:00,0
14099705027,1,God awful,Super lame. I sure wish I could get my time back.,TheListener916,2026-05-24T07:44:13+00:00,0
14099691162,5,I love it,I love it,Lily’s playlist,2026-05-24T07:38:05+00:00,0
14099673858,5,I Love You Spotify,Best music platform idc,Ezrawwwr,2026-05-24T07:30:25+00:00,0
14099672582,1,Icon,"I love Spotify, I’ve been premium for years. I don’t know who’s nepo baby decided on this new icon, but it’s ugly af. Fix it.",EmmaVictoria21,2026-05-24T07:29:53+00:00,0
14099652981,5,Great app,No rivals,ArthurKA999,2026-05-24T07:21:15+00:00,0
14099635414,4,.com,Junior,SERGIOROSALES,2026-05-24T07:13:35+00:00,0
14099628480,5,Love it<3,I love the app in general but one thing I love the most is the recap and how it show what you did on the app!!!,Pua 🌺,2026-05-24T07:10:30+00:00,0
14099591076,5,Great music,Love the way it’s set,DrPac1313,2026-05-24T06:53:53+00:00,0
14099587557,5,App is goated,"I love this app, it’s actually the best but there is way to much ads like yea 2 ads after like 6 songs is reasonable but FOUR ADS after like skipping songs is wild but I still love this app so 🫰",The goat emily 🥹🫰,2026-05-24T06:52:19+00:00,0
14099572784,5,If my radio’s on it’s Spotify ♥️,"If my radios on in my car, it’s Spotify ♥️ if music’s on my phone it’s Spotify ♥️
I love love it!! Have had a family plan FOREVER ! There’s no other way to do MUSIC!!!",TNBrat72,2026-05-24T06:45:37+00:00,0
14099569040,5,💁,I love the dj mixes and next line of songs that matches your first music,DLURD,2026-05-24T06:43:55+00:00,0
14099555714,5,bad/good,the best maintained streaming service/the next-to-lowest sharing of profits with the artists. they could get real about sharing the income stream with the “other people” (musicians) that make the whole wheel turn. I’m waiting for that day,missingyou2001,2026-05-24T06:38:01+00:00,0
14099534676,3,Not working,Everytime it keeps glitching and when i try to press a song it doesn't work till i press the next button 2times and it keeps making me waist for it too load my playlists and other songs and or the music stops and comes on then stops again.,Lanlan wrote this,2026-05-24T06:28:26+00:00,0
14099531824,3,Ok,It's ok.. To much ads though and pictures of them skip that much,Ismayhere,2026-05-24T06:27:09+00:00,0
14099520834,1,Eh,No,CHinchillamINK,2026-05-24T06:22:15+00:00,0
14099509428,5,Spotify’s new look,"Let’s get back to the
 Disco 💫",Universal Detective,2026-05-24T06:17:06+00:00,0
14099491931,5,SP🪩TIFY,"This aint no audio streaming service, its an advertising company.",Chris of 93.7,2026-05-24T06:09:14+00:00,0
14099477092,5,A1Day1,"Always been a big fan, more then worth it, sometimes some non main stream music gets removed, but it comes back! Much gratitude to the holder of this music and years of genre! Please bring back the general recently played playlist! 

Love Muva Mili!",IllMili,2026-05-24T06:02:31+00:00,0
14099475899,5,I love it,So simple to use and one thing I love about Spotify is that any song I search on here I get it,TygaSlim,2026-05-24T06:01:58+00:00,0
14099470432,5,the love of my life,this app is my soulmate basically,fyxiizr,2026-05-24T05:59:31+00:00,0
14099460401,5,Review,I love Spotify; Music is my passion.,Fjdiududududjdjjdhdh,2026-05-24T05:54:56+00:00,0
14099450977,5,Amazing,"It’s amazing has like every song, I’ve been using Spotify for the last 5 years and it has never once disappointed me",ivuhffhfvfcdcvugufthjfyx,2026-05-24T05:50:41+00:00,0
14099446264,5,Cool,Cool,Aiden Flor3s,2026-05-24T05:48:30+00:00,0
14099430445,3,Fake Premium,I pay for premium specifically so I don’t have to listen to ads and you still think it’s okay to sneak some ads into podcasts??,Kat salmon,2026-05-24T05:41:10+00:00,0
